company,metric_id,status,source_class,has_numeric_value,has_evidence,needs_text_extraction,needs_review,reason
Marriott International,B01,OK,STD_XBRL,1,1,0,0,Revenue candidate chain from metric definition.
Marriott International,B02,OK,DERIVED,1,1,0,0,Same revenue candidate chain YoY pair after continuity checks.
Marriott International,B03,OK,DERIVED,1,1,0,0,"Direct OperatingIncomeLoss selected. D&A composed from standard Depreciation + AmortizationOfIntangibleAssets. custom DepreciationAmortizationAndOther observed (DepreciationAmortizationAndOtherExcludingCapitalizedContractCostAmortization=213000000;DepreciationAmortizationAndOther=599000000) but not added because ""and other"" is not cleanly attributable to D&A expense. GAAP EBITDA proxy; impairment is not added back."
Marriott International,B04,OK,STD_XBRL,1,1,0,0,Net income candidate chain from metric definition.
Marriott International,B05,OK,DERIVED,1,1,0,0,Capex chain allows PaymentsToAcquireProductiveAssets.
Marriott International,B06,NOT_MEANINGFUL,NOT_AVAILABLE,0,1,0,0,Equity is negative; debt/equity ratio is not economically meaningful. Total debt candidate=16204000000. Tier 1 direct total debt selected; no adders applied.
Marriott International,B07,OK,DERIVED,1,1,0,0,Operating income divided by interest expense.
Marriott International,B08,OK,DERIVED,1,1,0,0,Financial-institution profiles handle current ratio as structural N/A.
Marriott International,B09,OK,STD_XBRL,1,1,0,0,Cash and cash equivalents only; short-term investments not merged.
Marriott International,B10,MDA_OK,MDA,1,1,0,0,Selected absolute occupancy from lodging KPI table; scope=comparable systemwide worldwide.
Marriott International,B11,MDA_OK,MDA,1,1,0,0,Selected absolute RevPAR from lodging KPI table; scope=comparable systemwide worldwide; percentage change columns are not used as USD values.
Marriott International,C01,8K_ITEM_OK,8K_ITEM,1,1,0,0,CEO/CFO or director/officer event.
Marriott International,C02,TEXT_QUAL,DEF14A,0,1,0,0,Textual board evidence captured; structured counts need review.
Marriott International,C03,NOT_EXTRACTED,DEF14A,0,0,1,0,本轮没抽到: No numeric ecd:PeoTotalCompAmt fact matched target fiscal year; C03 degraded from previous ecd_fact_count.
Marriott International,C04,DIM_XBRL_OK,DIM_XBRL,1,1,0,0,auditor unchanged; current_accession=0001048286-26-000007; prior_accession=0001628280-25-004818; manual confirmation required when changed.
Marriott International,D01,TEXT_QUAL,TEXT,0,1,0,0,Risk factor heading or theme evidence.
Marriott International,D02,TEXT_QUAL,TEXT,0,1,0,0,Legal proceedings or litigation text evidence.
Marriott International,D03,TEXT_QUAL,TEXT,0,1,0,0,Keyword scan across risk/legal text.
Marriott International,D04,TEXT_QUAL,TEXT,0,1,0,0,No going-concern doubt phrase found in 10-K text.
Marriott International,E01,NOT_AVAILABLE_SEC,8K_ITEM,1,1,0,0,SEC 未披露: FY-window 8-K scanned; no M&A item rule matched.
Marriott International,E02,NOT_AVAILABLE_SEC,8K_ITEM,1,1,0,0,SEC 未披露: No Item 1.03 in FY-window 8-K; zero is normal.
Marriott International,E03,8K_ITEM_OK,8K_ITEM,1,1,0,0,Leadership event.
Marriott International,E04,NOT_AVAILABLE_SEC,8K_ITEM,1,1,0,0,SEC 未披露: FY-window 8-K scanned; no item 4.02 found.
Marriott International,E05,NOT_AVAILABLE_SEC,8K_ITEM,1,1,0,0,SEC 未披露: FY-window 8-K scanned; no item 1.01 found.
Southwest Airlines,B01,OK,STD_XBRL,1,1,0,0,Revenue candidate chain from metric definition.
Southwest Airlines,B02,OK,DERIVED,1,1,0,0,Same revenue candidate chain YoY pair after continuity checks.
Southwest Airlines,B03,OK,DERIVED,1,1,0,0,Direct OperatingIncomeLoss selected. Direct D&A concept selected. GAAP EBITDA proxy; impairment is not added back.
Southwest Airlines,B04,OK,STD_XBRL,1,1,0,0,Net income candidate chain from metric definition.
Southwest Airlines,B05,OK,DERIVED,1,1,0,0,Capex chain allows PaymentsToAcquireProductiveAssets.
Southwest Airlines,B06,OK,DERIVED,1,1,0,0,Consolidated entity-level debt/equity; Tier 1 direct total debt selected; no adders applied. Captive-finance dimensions are reviewed after accession instance parsing.
Southwest Airlines,B07,OK,DERIVED,1,1,0,0,Operating income divided by interest expense.
Southwest Airlines,B08,OK,DERIVED,1,1,0,0,Financial-institution profiles handle current ratio as structural N/A.
Southwest Airlines,B09,OK,STD_XBRL,1,1,0,0,Cash and cash equivalents only; short-term investments not merged.
Southwest Airlines,C01,8K_ITEM_OK,8K_ITEM,1,1,0,0,CEO/CFO or director/officer event.
Southwest Airlines,C02,TEXT_QUAL,DEF14A,0,1,0,0,Textual board evidence captured; structured counts need review.
Southwest Airlines,C03,DEF14A_OK,DEF14A,1,1,0,0,Selected ecd:PeoTotalCompAmt; duplicate contexts retained in evidence.
Southwest Airlines,C04,DIM_XBRL_OK,DIM_XBRL,1,1,0,0,auditor unchanged; current_accession=0000092380-26-000004; prior_accession=0000092380-25-000024; manual confirmation required when changed.
Southwest Airlines,D01,NOT_EXTRACTED,TEXT,0,1,1,0,本轮没抽到: Risk factor heading or theme evidence.
Southwest Airlines,D02,NOT_AVAILABLE_SEC,TEXT,0,1,0,0,SEC 未披露: Legal proceedings or litigation text evidence.
Southwest Airlines,D03,TEXT_QUAL,TEXT,0,1,0,0,Keyword scan across risk/legal text.
Southwest Airlines,D04,TEXT_QUAL,TEXT,0,1,0,0,No going-concern doubt phrase found in 10-K text.
Southwest Airlines,E01,8K_ITEM_OK,8K_ITEM,1,1,0,0,M&A candidate from item mapping and keyword rule.
Southwest Airlines,E02,NOT_AVAILABLE_SEC,8K_ITEM,1,1,0,0,SEC 未披露: No Item 1.03 in FY-window 8-K; zero is normal.
Southwest Airlines,E03,8K_ITEM_OK,8K_ITEM,1,1,0,0,Leadership event.
Southwest Airlines,E04,NOT_AVAILABLE_SEC,8K_ITEM,1,1,0,0,SEC 未披露: FY-window 8-K scanned; no item 4.02 found.
Southwest Airlines,E05,8K_ITEM_OK,8K_ITEM,1,1,0,0,Material agreement event.
Ford Motor Company,B01,OK,STD_XBRL,1,1,0,0,Revenue candidate chain from metric definition.
Ford Motor Company,B02,OK,DERIVED,1,1,0,0,Same revenue candidate chain YoY pair after continuity checks.
Ford Motor Company,B03,OK,DERIVED,1,1,0,0,Direct OperatingIncomeLoss selected. Direct D&A concept selected. GAAP EBITDA proxy; impairment is not added back.
Ford Motor Company,B04,OK,STD_XBRL,1,1,0,0,Net income candidate chain from metric definition.
Ford Motor Company,B05,OK,DERIVED,1,1,0,0,Capex chain allows PaymentsToAcquireProductiveAssets.
Ford Motor Company,B06,NEEDS_REVIEW,DERIVED,0,1,1,1,多事实需复核/需复核: Main debt/equity value is blank because captive finance segment/dimension was detected; consolidated candidate is retained only in evidence and sidecar with candidate_role.
Ford Motor Company,B07,NOT_MEANINGFUL,NOT_AVAILABLE,0,1,0,0,Operating income is non-positive.
Ford Motor Company,B08,OK,DERIVED,1,1,0,0,Financial-institution profiles handle current ratio as structural N/A.
Ford Motor Company,B09,OK,STD_XBRL,1,1,0,0,Cash and cash equivalents only; short-term investments not merged.
Ford Motor Company,B13,TEXT_QUAL,TEXT,0,1,0,0,Only qualitative capacity evidence is used unless a ratio appears.
Ford Motor Company,C01,8K_ITEM_OK,8K_ITEM,1,1,0,0,CEO/CFO or director/officer event.
Ford Motor Company,C02,TEXT_QUAL,DEF14A,0,1,0,0,Textual board evidence captured; structured counts need review.
Ford Motor Company,C03,DEF14A_OK,DEF14A,1,1,0,0,Selected ecd:PeoTotalCompAmt; duplicate contexts retained in evidence.
Ford Motor Company,C04,DIM_XBRL_OK,DIM_XBRL,1,1,0,0,auditor unchanged; current_accession=0000037996-26-000015; prior_accession=0000037996-25-000013; manual confirmation required when changed.
Ford Motor Company,D01,TEXT_QUAL,TEXT,0,1,0,0,Risk factor heading or theme evidence.
Ford Motor Company,D02,TEXT_QUAL,TEXT,0,1,0,0,Legal proceedings or litigation text evidence.
Ford Motor Company,D03,TEXT_QUAL,TEXT,0,1,0,0,Keyword scan across risk/legal text.
Ford Motor Company,D04,TEXT_QUAL,TEXT,0,1,0,0,No going-concern doubt phrase found in 10-K text.
Ford Motor Company,E01,8K_ITEM_OK,8K_ITEM,1,1,0,0,M&A candidate from item mapping and keyword rule.
Ford Motor Company,E02,NOT_AVAILABLE_SEC,8K_ITEM,1,1,0,0,SEC 未披露: No Item 1.03 in FY-window 8-K; zero is normal.
Ford Motor Company,E03,8K_ITEM_OK,8K_ITEM,1,1,0,0,Leadership event.
Ford Motor Company,E04,NOT_AVAILABLE_SEC,8K_ITEM,1,1,0,0,SEC 未披露: FY-window 8-K scanned; no item 4.02 found.
Ford Motor Company,E05,8K_ITEM_OK,8K_ITEM,1,1,0,0,Material agreement event.
Pfizer,B01,OK,STD_XBRL,1,1,0,0,Revenue candidate chain from metric definition.
Pfizer,B02,OK,DERIVED,1,1,0,0,Same revenue candidate chain YoY pair after continuity checks.
Pfizer,B03,OK_APPROX,DERIVED,1,1,0,0,Operating income reconstructed from pretax continuing income less aggregate nonoperating income/expense; assumes the nonoperating aggregate is the complete operating-to-pretax bridge. CostsAndExpenses cross-check unavailable; assumes the nonoperating aggregate is the complete operating-to-pretax bridge. Direct D&A concept selected. GAAP EBITDA proxy; impairment is not added back.
Pfizer,B04,OK,STD_XBRL,1,1,0,0,Net income candidate chain from metric definition.
Pfizer,B05,OK,DERIVED,1,1,0,0,Capex chain allows PaymentsToAcquireProductiveAssets.
Pfizer,B06,OK,DERIVED,1,1,0,0,Consolidated entity-level debt/equity; Tier 2 same-family current/noncurrent debt pair selected. Captive-finance dimensions are reviewed after accession instance parsing.
Pfizer,B07,OK_APPROX,DERIVED,1,1,0,0,Interest coverage uses reconstructed operating income.
Pfizer,B08,OK,DERIVED,1,1,0,0,Financial-institution profiles handle current ratio as structural N/A.
Pfizer,B09,OK,STD_XBRL,1,1,0,0,Cash and cash equivalents only; short-term investments not merged.
Pfizer,C01,NOT_AVAILABLE_SEC,8K_ITEM,1,1,0,0,SEC 未披露: FY-window 8-K scanned; no item 5.02 found.
Pfizer,C02,TEXT_QUAL,DEF14A,0,1,0,0,Textual board evidence captured; structured counts need review.
Pfizer,C03,DEF14A_OK,DEF14A,1,1,0,0,Selected ecd:PeoTotalCompAmt; duplicate contexts retained in evidence.
Pfizer,C04,DIM_XBRL_OK,DIM_XBRL,1,1,0,0,auditor unchanged; current_accession=0000078003-26-000026; prior_accession=0000078003-25-000054; manual confirmation required when changed.
Pfizer,D01,TEXT_QUAL,TEXT,0,1,0,0,Risk factor heading or theme evidence.
Pfizer,D02,TEXT_QUAL,TEXT,0,1,0,0,Legal proceedings or litigation text evidence.
Pfizer,D03,TEXT_QUAL,TEXT,0,1,0,0,Keyword scan across risk/legal text.
Pfizer,D04,TEXT_QUAL,TEXT,0,1,0,0,No going-concern doubt phrase found in 10-K text.
Pfizer,E01,NOT_AVAILABLE_SEC,8K_ITEM,1,1,0,0,SEC 未披露: FY-window 8-K scanned; no M&A item rule matched.
Pfizer,E02,NOT_AVAILABLE_SEC,8K_ITEM,1,1,0,0,SEC 未披露: No Item 1.03 in FY-window 8-K; zero is normal.
Pfizer,E03,NOT_AVAILABLE_SEC,8K_ITEM,1,1,0,0,SEC 未披露: FY-window 8-K scanned; no item 5.02 found.
Pfizer,E04,NOT_AVAILABLE_SEC,8K_ITEM,1,1,0,0,SEC 未披露: FY-window 8-K scanned; no item 4.02 found.
Pfizer,E05,NOT_AVAILABLE_SEC,8K_ITEM,1,1,0,0,SEC 未披露: FY-window 8-K scanned; no item 1.01 found.
JPMorgan Chase,A01,DIM_XBRL_OK,DIM_XBRL,1,1,0,0,Selected parent/consolidated standardized Basel ratio fact; candidate facts and regulatory thresholds are retained in outputs/basel_ratio_candidates.csv. c-2054 us-gaap:RiskWeightedAssetsCalculationMethodologyAxis=jpm:BaselIIIStandardizedMember;dei:LegalEntityAxis=jpm:JpmorganChaseBankNAMember=0.153 | c-2055 srt:ConsolidatedEntitiesAxis=srt:ParentCompanyMember;us-gaap:RiskWeightedAssetsCalculationMethodologyAxis=jpm:BaselIIIAdvancedMember=0.150 | c-2056 us-gaap:RiskWeightedAssetsCalculationMethodologyAxis=jpm:BaselIIIAdvancedMember;dei:LegalEntityAxis=jpm:JpmorganChaseBankNAMember=0.158
JPMorgan Chase,A02,DIM_XBRL_OK,DIM_XBRL,1,1,0,0,Selected parent/consolidated standardized Basel ratio fact; candidate facts and regulatory thresholds are retained in outputs/basel_ratio_candidates.csv. c-2054 us-gaap:RiskWeightedAssetsCalculationMethodologyAxis=jpm:BaselIIIStandardizedMember;dei:LegalEntityAxis=jpm:JpmorganChaseBankNAMember=0.153 | c-2055 srt:ConsolidatedEntitiesAxis=srt:ParentCompanyMember;us-gaap:RiskWeightedAssetsCalculationMethodologyAxis=jpm:BaselIIIAdvancedMember=0.141 | c-2056 us-gaap:RiskWeightedAssetsCalculationMethodologyAxis=jpm:BaselIIIAdvancedMember;dei:LegalEntityAxis=jpm:JpmorganChaseBankNAMember=0.158
JPMorgan Chase,A03,MDA_OK,MDA,1,1,0,0,Firm average LCR table row selected; raw table reports percent and matrix stores ratio.
JPMorgan Chase,A04,MDA_OK,MDA,1,1,0,0,Managed basis / non-GAAP table row selected. companyfacts proxy NII / average total assets=0.02264979566226381198982310031; table NIM should normally exceed this proxy because average interest-earning assets are usually smaller than average total assets.
JPMorgan Chase,A08,OK,STD_XBRL,1,1,0,0,"Per 02 §A08 definition, this uses noninterest income, not pure fee income; noninterest income may include trading, investment banking, asset-management and other noninterest revenue."
JPMorgan Chase,A09,NOT_EXTRACTED,NOT_AVAILABLE,0,0,1,0,本轮没抽到: Requires credit risk table or reviewed dimensions.
JPMorgan Chase,A10,OK,STD_XBRL,1,1,0,0,Primary allowance ratio uses retained loans before allowance for credit loss; securities credit-loss allowance is excluded.
JPMorgan Chase,A11,MDA_OK,MDA,1,1,0,0,Assets under management table row selected; source unit is billions.
JPMorgan Chase,A12,MDA_OK,MDA,1,1,0,0,Total VaR average table row selected; source unit is millions and table states 95% confidence level.
JPMorgan Chase,A13,NOT_EXTRACTED,NOT_AVAILABLE,0,0,1,0,本轮没抽到: Requires geographic dimensions or segment table.
JPMorgan Chase,A05,OK,DERIVED,1,1,0,0,Average assets uses current and prior 10-K Assets.
JPMorgan Chase,A06,OK,DERIVED,1,1,0,0,Uses total equity when common-shareholder denominator is absent.
JPMorgan Chase,A07,OK,DERIVED,1,1,0,0,Single-year task trend is YoY pair.
JPMorgan Chase,B08,N_A_STRUCTURAL,NOT_AVAILABLE,0,0,0,0,结构不适用: Bank current ratio is structurally not applicable.
